     0,     0
 10867,     0
 -6327,  3636
  6725, -9040
 14944,  8009
 -2138,  1273
 12605, -9926
 17793,  8807
   977,  -273
 16939, -9179
 18848,  9478
  2524, -1798
 19299, -8291
 17840, 10004
  2327, -3267
 19593, -7230
 14853, 10334
   557, -4661
 18085, -6017
 10311, 10463
 -2298, -5956
 15337, -4676
  4909, 10388
 -5521, -7130
 12107, -3242
  -513, 10103
 -8303, -8162
  9205, -1748
 -5115,  9612
 -9885, -9037
  7347,    28
 -8203,  8918
 -9705, -9740
  7023,  1538
 -9352,  8032
 -7499,-10263
  8403,  3007
 -8477,  6971
 -3357,-10592
 11313,  4401
 -5846,  5757
  2291,-10722
 15258,  5697
 -2026,  4417
  8748,-10648
 19518,  6871
  2223,  2982
 15169,-10364
 23279,  7902
  6083,  1488
 20709, -9872
 25778,  8777
  8837,  -288
 24671, -9179
 26449,  9480
  9990, -1799
 26626, -8292
 25026, 10002
  9368, -3268
 26486, -7232
 21594, 10332
  7144, -4662
 24515, -6017
 16581, 10462
  3808, -5958
 21277, -4678
 10680, 10387
    78, -7131
 17533, -3243
  4736, 10103
 -3233, -8163
 14094, -1749
  -410,  9611
 -5365, -9038
 11679,    28
 -4061,  8917
 -5754, -9741
 10780,  1538
 -5790,  8031
 -4134,-10263
 11570,  3006
 -5510,  6970
  -591,-10593
 13877,  4401
 -3486,  5756
  4447,-10723
 17208,  5697
  -282,  4416
 10284,-10648
 20846,  6870
  3342,  2982
 16079,-10364
 23979,  7902
  6574,  1487
 20990, -9872
 25848,  8777
  8697,  -289
 24321, -9178
 25888,  9480
  9220, -1799
 25646, -8292
 23837, 10002
  7971, -3267
 24881, -7231
 19782, 10332
  5126, -4662
 22291, -6017
 14152, 10462
  1177, -5957
 18444, -4677
  7646, 10387
 -3155, -7131
 14102, -3243
  1108, 10103
 -7055, -8162
 10079, -1747
 -4616,  9612
 -9760, -9037
  7098,    28
 -8828,  8918
-10703, -9741
  5650,  1539
-11098,  8032
 -9618,-10262
  5913,  3007
-11338,  6971
 -6587,-10592
  7716,  4402
 -9809,  5757
 -2036,-10722
 10569,  5697
 -7075,  4417
  3342,-10647
 13756,  6872
 -3892,  2983
  8705,-10363
 16468,  7903
 -1071,  1488
 13215, -9871
 17946,  8778
   672,  -288
 16177, -9177
 17629,  9482
   848, -1798
 17167, -8291
 15253, 10004
  -713, -3266
 16101, -7230
 10910, 10334
 -3834, -4660
 13247, -6016
  5029, 10463
 -8022, -5956
  9173, -4676
 -1692, 10388
-12556, -7129
  4642, -3241
 -8405, 10104
-16618, -8161
   471, -1746
-14265,  9613
-19446, -9036
 -2621,    30
-18574,  8919
-20473, -9739
 -4138,  1540
-20901,  8034
-19430,-10261
 -3904,  3009
-21156,  6973
-16401,-10591
 -2090,  4403
-19602,  5759
-11812,-10720
   814,  5699
-16803,  4419
 -6356,-10645
  4094,  6873
-13515,  2985
  -874,-10361
  6937,  7905
-10549,  1490
  3794, -9870
  8587,  8779
 -8622,  -286
  6953, -9176
  8479,  9483
 -8223, -1796
  8178, -8289
  6352, 10005
 -9524, -3265
  7385, -7229
  2293, 10335
-12349, -4659
  4839, -6015
 -3269, 10465
-16206, -5954
  1108, -4674
 -9635, 10390
-20374, -7128
 -3046, -3240
-15961, 10106
-24038, -8161
 -6810, -1745
-21403,  9614
-26438, -9035
 -9464,    31
-25264,  8920
-27008, -9738
-10515,  1541
-27116,  8035
-25481,-10260
 -9788,  3009
-26870,  6973
-21943,-10590
 -7457,  4404
-24792,  5760
-16822,-10720
 -4014,  5699
-21447,  4419
-10813,-10645
  -175,  6874
-17593,  2985
 -4760,-10361
  3245,  7905
-14046,  1490
   494, -9869
  5486,  8780
-11522,  -285
  4254, -9175
  5983,  9483
-10515, -1796
  6091, -8289
  4471, 10005
-11198, -3264
  5918, -7228
  1034, 10335
-13399, -4659
  3999, -6014
 -3899, 10465
-16626, -5955
   898, -4674
 -9635, 10390
-20163, -7128
 -2626, -3240
-15331, 10105
-23198, -8161
 -5761, -1745
-20145,  9614
-24972, -9035
 -7789,    30
-23383,  8921
-24921, -9739
 -8223,  1541
-24620,  8034
-22782,-10260
 -6888,  3009
-23770,  6973
-18644,-10590
 -3961,  4404
-21100,  5759
-12936,-10720
    65,  5699
-17178,  4419
 -6356,-10646
  4469,  6873
-12765,  2985
   250,-10361
  8434,  7905
 -8679,  1489
  6036, -9870
 11200,  8779
 -5638,  -286
 10305, -9176
 12198,  9482
 -4138, -1797
 12626, -8290
 11161, 10004
 -4355, -3265
 12910, -7229
  8172, 10334
 -6118, -4660
 11419, -6015
  3657, 10464
 -8937, -5956
  8716, -4675
 -1692, 10389
-12098, -7130
  5557, -3241
 -7033, 10104
-14790, -8161
  2754, -1747
-11528,  9613
-16255, -9036
  1022,    30
-14482,  8919
-15932, -9740
   848,  1540
-15470,  8032
-13558,-10261
  2406,  3008
-14410,  6971
 -9223,-10592
  5517,  4402
-11569,  5758
 -3357,-10721
  9688,  5697
 -7515,  4417
  3342,-10647
 14197,  6871
 -3011,  2983
 10026,-10363
 18228,  7903
  1128,  1488
 15851, -9871
 21018,  8777
  4179,  -288
 20117, -9177
 22001,  9481
  5650, -1798
 22396, -8292
 20907, 10003
  5363, -3267
 22596, -7231
 17822, 10333
  3491, -4661
 20982, -6017
 13170, 10462
   522, -5957
 18116, -4677
  7646, 10387
 -2827, -7131
 14756, -3243
  2091, 10102
 -5746, -8162
 11714, -1748
 -2656,  9612
 -7475, -9037
  9705,    28
 -5898,  8917
 -7453, -9741
  9220,  1538
 -7211,  8032
 -5414,-10263
 10431,  3007
 -6508,  6970
 -1448,-10593
 13162,  4401
 -4058,  5757
  4017,-10723
 16921,  5696
  -425,  4416
 10284,-10648
 20989,  6870
  3628,  2982
