     0,     0
 10867,  3636
 -6327, -9040
  6725,  8009
 14944,  1273
 -2138, -9926
 12605,  8807
 17793,  -273
   977, -9179
 16939,  9478
 18848, -1798
  2524, -8291
 19299, 10004
 17840, -3267
  2327, -7230
 19593, 10334
 14853, -4661
   557, -6017
 18085, 10463
 10311, -5956
 -2298, -4676
 15337, 10388
  4909, -7130
 -5521, -3242
 12107, 10103
  -513, -8162
 -8303, -1748
  9205,  9612
 -5115, -9037
 -9885,    28
  7347,  8918
 -8203, -9740
 -9705,  1538
  7023,  8032
 -9352,-10263
 -7499,  3007
  8403,  6971
 -8477,-10592
 -3357,  4401
 11313,  5757
 -5846,-10722
  2291,  5697
 15258,  4417
 -2026,-10648
  8748,  6871
 19518,  2982
  2223,-10364
 15169,  7902
 23279,  1488
  6083, -9872
 20709,  8777
 25778,  -288
  8837, -9179
 24671,  9480
 26449, -1799
  9990, -8292
 26626, 10002
 25026, -3268
  9368, -7232
 26486, 10332
 21594, -4662
  7144, -6017
 24515, 10462
 16581, -5958
  3808, -4678
 21277, 10387
 10680, -7131
    78, -3243
 17533, 10103
  4736, -8163
 -3233, -1749
 14094,  9611
  -410, -9038
 -5365,    28
 11679,  8917
 -4061, -9741
 -5754,  1538
 10780,  8031
 -5790,-10263
 -4134,  3006
 11570,  6970
 -5510,-10593
  -591,  4401
 13877,  5756
 -3486,-10723
  4447,  5697
 17208,  4416
  -282,-10648
 10284,  6870
 20846,  2982
  3342,-10364
 16079,  7902
 23979,  1487
  6574, -9872
 20990,  8777
 25848,  -289
  8697, -9178
 24321,  9480
 25888, -1799
  9220, -8292
 25646, 10002
 23837, -3267
  7971, -7231
 24881, 10332
 19782, -4662
  5126, -6017
 22291, 10462
 14152, -5957
  1177, -4677
 18444, 10387
  7646, -7131
 -3155, -3243
 14102, 10103
  1108, -8162
 -7055, -1747
 10079,  9612
 -4616, -9037
 -9760,    28
  7098,  8918
 -8828, -9741
-10703,  1539
  5650,  8032
-11098,-10262
 -9618,  3007
  5913,  6971
-11338,-10592
 -6587,  4402
  7716,  5757
 -9809,-10722
 -2036,  5697
 10569,  4417
 -7075,-10647
  3342,  6872
 13756,  2983
 -3892,-10363
  8705,  7903
 16468,  1488
 -1071, -9871
 13215,  8778
 17946,  -288
   672, -9177
 16177,  9482
 17629, -1798
   848, -8291
 17167, 10004
 15253, -3266
  -713, -7230
 16101, 10334
 10910, -4660
 -3834, -6016
 13247, 10463
  5029, -5956
 -8022, -4676
  9173, 10388
 -1692, -7129
-12556, -3241
  4642, 10104
 -8405, -8161
-16618, -1746
   471,  9613
-14265, -9036
-19446,    30
 -2621,  8919
-18574, -9739
-20473,  1540
 -4138,  8034
-20901,-10261
-19430,  3009
 -3904,  6973
-21156,-10591
-16401,  4403
 -2090,  5759
-19602,-10720
-11812,  5699
   814,  4419
-16803,-10645
 -6356,  6873
  4094,  2985
-13515,-10361
  -874,  7905
  6937,  1490
-10549, -9870
  3794,  8779
  8587,  -286
