     0,     0
 10867,  4907
 -6327,  2310
  6725,   105
 14944,  9502
 -2138,  5995
 12605,  4372
 17793, 13048
   977,  8084
 16939,  6913
 18848, 14600
  2524,  8222
 19299,  7504
 17840, 14055
  2327,  6439
 19593,  6265
 14853, 11656
   557,  3094
 18085,  3633
 10311,  7943
 -2298, -1435
 15337,   288
  4909,  3668
 -5521, -5841
 12107, -3229
  -513,  -606
 -8303, -9567
  9205, -5641
 -5115, -3622
 -9885,-11923
  7347, -6603
 -8203, -5096
 -9705,-12465
  7023, -5788
 -9352, -4787
 -7499,-11072
  8403, -3207
 -8477, -2800
 -3357, -7972
 11313,  1047
 -5846,   697
  2291, -3695
 15258,  5845
 -2026,  4526
  8748,  1281
 19518, 10659
  2223,  8160
 15169,  5636
 23279, 14687
  6083, 10840
 20709,  8889
 25778, 17248
  8837, 11976
 24671, 10507
 26449, 17906
  9990, 11250
 26626, 10262
 25026, 16552
  9368,  8682
 26486,  8263
 21594, 13416
  7144,  4624
 24515,  4940
 16581,  9034
  3808,  -554
 21277,   966
 10680,  4148
    78, -5552
 17533, -3125
  4736,  -682
 -3233, -9817
 14094, -6060
  -410, -4204
 -5365,-12663
 11679, -7496
 -4061, -6138
 -5754,-13652
 10780, -7115
 -5790, -6250
 -4134,-12667
 11570, -4929
 -5510, -4644
  -591, -9936
 13877, -1286
 -3486, -1749
  4447, -5992
 17208,  3444
  -282,  2025
 10284, -1572
 20846,  7967
  3342,  5377
 16079,  2769
 23979, 11735
  6574,  7809
 20990,  5782
 25848, 14067
  8697,  8725
 24321,  7190
 25888, 14525
  9220,  7807
 25646,  6761
 23837, 12996
  7971,  5075
 24881,  4606
 19782,  9713
  5126,   879
 22291,  1154
 14152,  5210
  1177, -4413
 18444, -3181
  7646,   228
 -3155, -9500
 14102, -7098
  1108, -4676
 -7055,-13831
 10079,-10091
 -4616, -8250
 -9760,-16721
  7098,-11563
 -8828,-10212
-10703,-17730
  5650,-11195
-11098,-10329
 -9618,-16744
  5913, -9001
-11338, -8709
 -6587,-13992
  7716, -5331
 -9809, -5778
 -2036,-10004
 10569,  -805
 -7075, -2204
  3342, -5521
 13756,  4045
 -3892,  1482
  8705, -1354
 16468,  7901
 -1071,  4008
 13215,  2016
 17946, 10339
   672,  5036
 16177,  3542
 17629, 10920
   848,  4247
 17167,  3248
 15253,  9531
  -713,  1660
 16101,  1244
 10910,  6404
 -3834, -2631
 13247, -2298
  5029,  2072
 -8022, -7490
  9173, -6197
 -1692, -2982
-12556,-12389
  4642, -9921
 -8405, -7431
-16618,-16517
   471,-12706
-14265,-10792
-19446,-19190
 -2621,-13959
-18574,-12532
-20473,-19974
 -4138,-13361
-20901,-12417
-19430,-18752
 -3904,-10928
-21156,-10554
-16401,-15754
 -2090, -7009
-19602, -7373
-11812,-11514
   814, -2231
-16803, -3543
 -6356, -6773
  4094,  2880
-13515,   406
  -874, -2341
  6937,  7003
-10549,  3200
  3794,  1298
  8587,  9712
 -8622,  4500
  6953,  3096
  8479, 10566
 -8223,  3985
  8178,  3077
  6352,  9452
 -9524,  1673
  7385,  1348
  2293,  6601
-12349, -2343
  4839, -1919
 -3269,  2544
-16206, -6928
  1108, -5544
 -9635, -2237
-20374,-11553
 -3046, -8994
-15961, -6415
-24038,-15411
 -6810,-11511
-21403, -9510
-26438,-17821
 -9464,-12502
-25264,-10989
-27008,-18346
-10515,-11648
-27116,-10620
-25481,-16871
 -9788, -8965
-26870, -8510
-21943,-13629
 -7457, -4805
-24792, -5090
-16822, -9154
 -4014,   463
-21447, -1029
-10813, -4185
  -175,  5541
-17593,  3138
 -4760,   718
